Job Name,Location,Link,Skills Needed,Years of Experience,Resume to Use,Match Level,Notes
Software Engineer III - Python/Agentic AI,"Wilmington, DE",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210670963,"Python, Agentic AI, AWS deployment, Python data libraries, System design",3+ years,Harsha_Yellela_ML-Engineer.pdf,TOP PICK - BEST MATCH,"PERFECT for your GRA work! Agentic AI focus matches your LangChain/CrewAI experience exactly. Python + AWS + 3 years = ideal fit."
Python Software Engineer II - AWS/PySpark,"Wilmington, DE",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210671741,"Python, PySpark, Scala, CI/CD, Cloud/AI/ML, SDLC",2+ years,Harsha_Yellela_SDE.pdf,TOP PICK - VERY HIGH,"Entry-level SWE II role. Python + AWS + CI/CD all strong matches. 2+ years easy to meet with your 3 years. Data engineering bonus."
Software Engineer III - Full Stack Engineer,"Plano, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210679365,"Full Stack, CI/CD, Cloud, AI/ML, Front-end, Database",3+ years,Harsha_Yellela_SDE.pdf,TOP PICK - HIGH,"General SWE III role with AI/ML exposure preferred. 3+ years matches exactly. CI/CD and cloud experience strong."
Software Engineer III: Machine Learning Platform,"Palo Alto, CA",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210692571,"Python, TensorFlow, PyTorch, Scikit-learn, Spark, Pandas, SQL, AWS SageMaker/GCP AI Platform/Azure ML, MLOps, CI/CD, Docker, Kubernetes, Airflow, Terraform, CloudFormation, Databricks, Snowflake",3+ years,Harsha_Yellela_ML-Engineer.pdf,BEST MATCH,Almost perfect skills match - Python/PyTorch/TensorFlow/Docker/K8s/Terraform all match. 3+ years = your experience level exactly.
Machine Learning Engineer,"New York, NY / Palo Alto, CA",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210665979,"ML, Graph Learning, Recommendation Systems, NLP, Reinforcement Learning, MLOps, GenAI, LLMs, AWS/GCP/Azure, Data Structures, Algorithms",MS+3yrs OR PhD+1yr,Harsha_Yellela_ML-Engineer.pdf,HIGH,"Perfect skills - Graph Learning (your GNN project!), NLP, GenAI, LLMs. YoE borderline but MS+3yr could work with strong portfolio."
"Machine Learning and Gen AI Engineer, Sr Associate","Jersey City, NJ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210661000,"Python, Go, AWS/Azure/Kubernetes, LLMs (OpenAI, Claude), LLM Fine-tuning, Data Pipelines, Postgres, OpenSearch, Redis, NLP, Reinforcement Learning, PyTorch, Keras, Scikit-Learn",MS+4yrs (2+ ML),Harsha_Yellela_ML-Engineer.pdf,HIGH,PERFECT skills - Python/Go/K8s/LLMs/Fine-tuning/OpenSearch all match exactly. YoE stretch (MS+4yr) but skills are spot-on.
Infrastructure Engineer III - Python AWS Terraform,"Plano, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210693765,"Python, Java, JavaScript, Terraform, AWS, CI/CD (Jenkins), Git, SQL/NoSQL, REST APIs",7+ years,Harsha_Yellela_DevOps.pdf,LOW,Good skills match but 7+ years is way over your experience. Java requirement is gap.
Technology Support Lead - IAM & AWS,"Houston, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210684950,"Python, AWS (EC2, IAM, S3, Lambda, CloudFormation), Grafana, Splunk, Dynatrace, Linux scripting, IAM (ForgeRock, Ping Identity), OAuth, OIDC, SRE, DevOps, CI/CD, ITIL",5+ years,Harsha_Yellela_DevOps.pdf,LOW,Specialized IAM role (ForgeRock/Ping Identity) - you don't have this expertise. 5+ years gap.
"Lead Software Engineer - Java/Python, AWS","Plano, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210680741,"Java, Spring Boot, Microservices, REST APIs, Python, AWS (EC2, EKS, RDS, DynamoDB, S3, SQS, KDS, MSK, Lambda, Glue), Jenkins, Spinnaker, Terraform, Splunk, Dynatrace, Datadog, React.JS",5+ years (10+ preferred),Harsha_Yellela_SDE.pdf,LOW-MEDIUM,Python/AWS/Jenkins/Terraform match. Java/Spring Boot primary requirement is gap. 5-10+ years way over.
Lead Software Engineer - Data/Python/AWS,"Jersey City, NJ / Brooklyn, NY",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210681251,"Python, AWS (ECS, EKS, Lambda, S3, Glue, EMR), Apache Iceberg, Databricks, DuckDB, Terraform, CloudFormation, Prometheus, Grafana, Docker, Kubernetes",5+ years Python/Data engineering,Harsha_Yellela_DevOps.pdf,MEDIUM,Great DevOps skills match (Python/AWS/Terraform/K8s/Prometheus/Grafana). 5+ years is a stretch. Data engineering focus (Iceberg/Databricks) is gap.
