Rank,Position,Team/Division,Location,Match Level,Resume to Use,Notes,URL
1,Software Developer 3,OCI Security Analytics & ML,Nashville TN,TOP PICK,SDE,Level 3 = mid-level - ML/AI and cloud technologies - direct match,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=software+developer+3
2,Applications Developer,Industry Solutions,United States,TOP PICK,SDE,No Senior prefix - Full Stack role - accessible level,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=applications+developer
3,Software Developer 3,Oracle Cloud Infrastructure,Austin TX,TOP PICK,SDE,Level 3 mid-level OCI role,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=software+developer+3
4,Software Developer 3,Oracle Database,Redwood City CA,HIGH,SDE,Level 3 database development,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=software+developer+3
5,Cloud Engineer 3,OCI Networking,Seattle WA,HIGH,DevOps,Level 3 cloud infrastructure role,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=cloud+engineer
6,Software Developer 3,NetSuite,Austin TX,HIGH,SDE,Level 3 NetSuite development,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=software+developer+3
7,Applications Developer 3,Oracle Applications,Redwood City CA,HIGH,SDE,Level 3 applications development,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=applications+developer
8,Site Reliability Engineer 3,OCI,Seattle WA,HIGH,DevOps,Level 3 SRE - monitoring and reliability,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=site+reliability+engineer
9,DevOps Engineer 3,Oracle Cloud,Austin TX,HIGH,DevOps,Level 3 DevOps - CI/CD pipelines,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=devops+engineer
10,Software Developer 3,Oracle Health,Burlington MA,HIGH,SDE,Level 3 healthcare tech,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=software+developer+3
11,Data Engineer 3,OCI Data Platform,Seattle WA,HIGH,ML-Engineer,Level 3 data engineering,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=data+engineer
12,Backend Developer 3,Oracle Fusion,Redwood City CA,HIGH,SDE,Level 3 backend Java development,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=backend+developer
13,Full Stack Developer 3,Oracle Applications,Austin TX,HIGH,SDE,Level 3 full stack development,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=full+stack+developer
