Job Name,Location,Link,Skills Needed,Years of Experience,Resume to Use
Lead Software Engineer - Data/Python/AWS,"Jersey City, NJ / Brooklyn, NY",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210681251,"Python, AWS (ECS, EKS, Lambda, S3, Glue, EMR), Apache Iceberg, Databricks, DuckDB, Terraform, CloudFormation, Prometheus, Grafana, Docker, Kubernetes",5+ years Python/Data engineering,Harsha_Yellela_DevOps.pdf
Infrastructure Engineer III - Python AWS Terraform,"Plano, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210693765,"Python, Java, JavaScript, Terraform, AWS, CI/CD (Jenkins), Git, SQL/NoSQL, REST APIs",7+ years,Harsha_Yellela_DevOps.pdf
Fullstack AWS Software Engineer III,"Westerville, OH",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210679207,"Java, TypeScript, AWS (exposure), CI/CD, Agile, System Design, Cloud/AI/ML/Mobile",3+ years,Harsha_Yellela_SDE.pdf
Lead Software Engineer - AWS/Python,"New York, NY / Wilmington, DE",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210695381,"Python, Java, NoSQL, SQL, Kubernetes, AWS (Lake Formation, Glue ETL, ECS, EMR, S3, Athena, Kinesis/MSK, Airflow, Lambda, Step Functions, EventBridge), Spark SQL, Aurora, Snowflake, Databricks, Iceberg, Parquet, AVRO",5+ years,Harsha_Yellela_DevOps.pdf
Technology Support Lead - IAM & AWS,"Houston, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210684950,"Python, AWS (EC2, IAM, S3, Lambda, CloudFormation), Grafana, Splunk, Dynatrace, Linux scripting, IAM (ForgeRock, Ping Identity), OAuth, OIDC, SRE, DevOps, CI/CD, ITIL",5+ years,Harsha_Yellela_DevOps.pdf
Full stack AWS Software Engineer II,"Westerville, OH",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210679205,"Java, TypeScript, AWS (exposure), CI/CD, Agile, System Design",2+ years,Harsha_Yellela_SDE.pdf
"Lead Software Engineer - Java/Python, AWS","Plano, TX",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210680741,"Java, Spring Boot, Microservices, REST APIs, Python, AWS (EC2, EKS, RDS, DynamoDB, S3, SQS, KDS, MSK, Lambda, Glue), Jenkins, Spinnaker, Terraform, Splunk, Dynatrace, Datadog, React.JS",5+ years (10+ preferred),Harsha_Yellela_SDE.pdf
Machine Learning Engineer,"New York, NY / Palo Alto, CA",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210665979,"ML, Graph Learning, Recommendation Systems, NLP, Reinforcement Learning, MLOps, GenAI, LLMs, AWS/GCP/Azure, Data Structures, Algorithms",MS+3yrs OR PhD+1yr,Harsha_Yellela_ML-Engineer.pdf
Machine Learning Scientist - NLP - Senior Associate,"New York, NY",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210650089,"NLP, Speech Recognition, Deep Learning, TensorFlow, PyTorch, NumPy, Scikit-Learn, Pandas, Reinforcement Learning, Recommendation Systems, Big Data",PhD OR MS+3yrs,Harsha_Yellela_ML-Engineer.pdf
Software Engineer III: Machine Learning Platform,"Palo Alto, CA",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210692571,"Python, TensorFlow, PyTorch, Scikit-learn, Spark, Pandas, SQL, AWS SageMaker/GCP AI Platform/Azure ML, MLOps, CI/CD, Docker, Kubernetes, Airflow, Terraform, CloudFormation, Databricks, Snowflake",3+ years,Harsha_Yellela_ML-Engineer.pdf
"Machine Learning and Gen AI Engineer, Sr Associate","Jersey City, NJ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210661000,"Python, Go, AWS/Azure/Kubernetes, LLMs (OpenAI, Claude), LLM Fine-tuning, Data Pipelines, Postgres, OpenSearch, Redis, NLP, Reinforcement Learning, PyTorch, Keras, Scikit-Learn",MS+4yrs (2+ ML),Harsha_Yellela_ML-Engineer.pdf
Principal Software Engineer - AI/ML,"Columbus, OH",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210694033,"AI/ML, Cloud, Kafka, API Gateways, Relational Databases, AWS Bedrock, AWS Cloud Databases, Dynatrace, Splunk, Salesforce",10+ years (Senior),Harsha_Yellela_ML-Engineer.pdf
Principal Software Engineer - AI/ML,"Columbus, OH",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210669141,"AI/ML, Cloud, Kafka, API Gateways, Relational Databases, AWS Bedrock, AWS Cloud Databases, Dynatrace, Splunk, Salesforce",10+ years (Senior),Harsha_Yellela_ML-Engineer.pdf
Lead Software Engineer - Backend Development,"New York, NY / Wilmington, DE",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210692889,"Java, Python, Terraform, AWS (Lambda, ECS, RDS, EMR, Glue), CI/CD, Agile, Scala (preferred)",5+ years,Harsha_Yellela_SDE.pdf
